1968589331,https://dl.dropboxusercontent.com/u/17481094/9foodtruck_4.jpg,Veggie Over Rice,$5,,,,,,,Fish & Chicken w/Rice,$5,Fish & Falafel W/ Rice,$5,Lamb Gyro,$5,Falafel,$5,Lamb Salad,$5,Chicken Salad,$5,Chicken on Pita,$5,,
1963331023,https://dl.dropboxusercontent.com/u/17481094/11foodtruck_4.jpg,Black Bean Sauce Vegetable Stir Fry,$4.50,,,,,,,Eggplant Tofu Stir Fry,$4.50,Ginger Vegetable Stir Fry,$4.50,Lemon Grass Vegetable Stir Fry,$4.50,Makao Tofu Vegetable Stir Fry,$4.50,Shanghai Noodle Veg. Stir Fry,$5,Singapore Noodle Veg.,$5,Spicy Tofu Vegetable,$4,,
1968650108,https://dl.dropboxusercontent.com/u/17481094/13foodtruck_4.jpg,Daily Special,$6,,,,,,,Soup Du Jour,$3.25,Spinach Pie,$2.75,Veggie Chili,$5,Rice and Veggies,$4,Assorted Wraps,$5,,,,,,
1968683247,https://dl.dropboxusercontent.com/u/17481094/14foodtruck_4.jpg,Grilled Chicken,$4.50,,,,,,,Grilled Chicken W/ Cheese,$5,Grilled Chicken Special,$5.75,Chicken Pita,$4.50,Chicken Pita,$5,Pizza Chicken,$5,Chicken Wrap,$5,Grilled Chicken Caesar Wrap,$5,Chicken Cacciatore,$5
1968640494,https://dl.dropboxusercontent.com/u/17481094/15foodtruck_4.jpg,Hot Sausage Cheese,$3,,,,,,,Hot Sausage Chili,$3,Mild Sausage Cheese,$3,Mild Sausage Chili,$3,Plain Steak,$4,Cheese Steak,$5,Plain Chicken Steak,$4,Chicken Cheese Steak,$5,,
1968648246,https://dl.dropboxusercontent.com/u/17481094/16foodtruck_4.jpg,Egg Sandwich,$2,,,,,,,Egg & Cheese,$2.50,Grilled Cheese,$2,Turkey Bacon Egg & Cheese,$3,Turkey Sausage Egg & Cheese,$3,B.L.T.,$3,Pork Bacon Egg & Cheese,$3,,,,
1968599335,https://dl.dropboxusercontent.com/u/17481094/17foodtruck_4.jpg,Ground Beef Tacos,$3.25,,,,,,,Shredded Chicken Breast Tacos,$3.25,Veggie Tacos,$3.25,Shrimp Tacos,$3.75,Shredded Beef Quesadilla,$4.50,Shredded Chicken Breast Quesadilla,$4.50,Veggie Quesadilla,$4.50,Shrimp Quesadilla,$5,,
1968642941,https://dl.dropboxusercontent.com/u/17481094/18foodtruck_4.jpg,Chips & Guacamole,$3,,,,,,,Grilled Plantains,$1,Fresh Guacamole,$1,Whole Wheat,$0.26,Extra Cheese,$1,Extra Sour Cream,$1,,,,,,
1968653413,https://dl.dropboxusercontent.com/u/17481094/20foodtruck_4.jpg,Chicken With Broccoli,$4,Chicken With Teriyaki,$4,Chicken With Vegetable,$4,,,Chicken With Sweet Sour,$4,Chicken With Sesame,$4,Chicken With Hot Spicy,$4,Chicken With Garlic / Curry,$4,Chicken With Eggplant,$4.75,Chicken With Bean-Curd,$4.25,Chicken With Kung Pao,$4.25,Chicken With Cashew,$4.25
1968634908,https://dl.dropboxusercontent.com/u/17481094/23foodtruck_4.jpg,Chicken Breast Sandwich,$0,Peach Cobbler,$0,,,,,Chicken Leg and Thigh,$0,Chicken Wing Sandwich (Small or Large),$0,Fish Sandwich (Small or Large),$0,Wings and Fries (Small or Large),$0,Bottled Water,$0,Sodas,$0,Iced Tea,$0,Corn Bread,$0
1968592962,https://dl.dropboxusercontent.com/u/17481094/25foodtruck_4.jpg,Baked Ziti With Meatballs,$6,,,,,,,Buffalo Wings,$5,Ice Crem,$3,"Lemon, Blueberry, or Apple Fritters",$2.50,,,,,,,,,,
1968595212,https://dl.dropboxusercontent.com/u/17481094/26foodtruck_4.jpg,Hanan Falafel,$4,Hanan Falafel and Baba Ghanoush,$4.50,Hanan Falafel With Everything,$5,Zucchini-Feta Cheese,$4.50,Hanan Hoummos,$3.50,Baba Ghanoush,$4,Hanan Hoummos Baba Ghanoush,$4.50,Stuffed Grape Leaves,$4.50,Stuffed Grape Leaves and Feta Cheese,$4.75,Hanan Falafel With Hoummos,$4.50,Hanan Falafel and Feta Cheese,$4.50,Hanan Falafel with Hoummos and Feta Cheese,$4.75
1968668276,https://dl.dropboxusercontent.com/u/17481094/28foodtruck_4.jpg,"Veg, Chicken, Shrimp, Pork, or Beef Lo Mein (Pt.)",$3.75,,,,,,,"Veg, Chicken, Shrimp, Pork, or Beef Lo Mein (Qt.)",$6.50,Subgum Lo Mein (Pt.),$5,Subgum Lo Mein (Qt.),$7.25,Beijing Hot Noodles (Pt.),$2.75,Beijing Hot Noodles (Qt.),$4,"Chicken, Pork, Beef, or Shrimp Yat Mein",$2.75,Singapore Rice Noodles,$4,,
1968683248,https://dl.dropboxusercontent.com/u/17481094/29foodtruck_4.jpg,The Basic,$4,,,,,,,Spinach,$4,Roasted Pepper,$4,Spinach & Roasted Peppers,$4.75,Guacomole,$5,Sweet Popato,$4,Sweet Potato & Roasted Pepper,$4.75,Tofu,$5,Tofu Verde,$5
1968597658,https://dl.dropboxusercontent.com/u/17481094/3foodtruck_5.jpg,Turkey & Bacon,$4.50,Double Hamburger,$3.75,Double Cheeseburger,$3.95,Double Bacon Cheeseburger,$4.50,Roast Beef and Swiss Cheese,$4.50,Corned Beef and Bacon,$4.50,Ham and Cheese,$4.50,Tuna With Boiled Egg,$4.75,Chicken Salad Bacon,$4.95,Hamburger,$2.90,Cheeseburger,$3,Bacon Cheeseburger,$3.50
1968591326,https://dl.dropboxusercontent.com/u/17481094/4foodtruck_5.jpg,Spring Roll on Rice Noodle,$4.25,Subgum Lemon Grass on Rice,$5,Subgum Lemon Grass on Rice Noodle,$6,,,Chicken Lemon Grass on Rice Noodle,$4.50,Beef Lemon Grass on Rice Noodle,$4.75,Pork Lemon Grass on Rice Noodle,$4.50,Shrimp Lemon Grass on Rice Noodle,$4.75,Chicken Lemon Grass on Rice,$4.50,Pork Lemon Grass on Rice,$4.50,Beef Lemon Grass on Rice,$4.75,Shrimp Lemon Grass on Rice,$4.75
1968668274,https://dl.dropboxusercontent.com/u/17481094/11foodtruck_5.jpg,Chinese Vegetable Tofu,$4.50,,,,,,,Tofu Vegetable,$4.50,Almond Vegetable Tofu,$4.50,Broccoli Tofu,$4.50,Cashew Nut Veg. Tofu,$4.50,Curry Vegetable Tofu,$4.50,Fresh Mushroom Tofu,$4.50,Pepper Onion Tofu,$4.50,Snow Pea Tofu,$4.50
1968670658,https://dl.dropboxusercontent.com/u/17481094/13foodtruck_5.jpg,Special Combo,$7,,,,,,,Carpet Caravan,$7.50,Soup & Salad,$6,Carpet Ride,$6.50,Magic Meal Pocket,$5.75,,,,,,,,
1968632843,https://dl.dropboxusercontent.com/u/17481094/14foodtruck_5.jpg,,,,,,,,,,,,,,,,,,,,,,,,
