1968600212,https://dl.dropboxusercontent.com/u/17481094/19foodtruck_1.jpg,CHICKEN RICE,$5,FALAFEL,$4,COMBO SANDWICH,$4,GYRO SALAD,$5,GYRO RICE,$5,VEGGIE RICE,$5,COMBO RICE,$6,FALAFEL RICE,$5,CHICKEN SALAD,$5,CHICKEN GYRO,$4,GYRO,$4,COMBO SALAD,$5,https://dl.dropboxusercontent.com/u/17481094/19foodtruck_1.jpg
1968600722,https://dl.dropboxusercontent.com/u/17481094/19foodtruck_1.jpg,Chicken Rice,$5,Chicken Salad,$5,Combo Salad,$5,Gyro Salad,$5,Combo Rice,$6,Chicken Gyro,$4,Falafel,$4,Gyro Rice,$5,Falafel Rice,$5,Gyro,$4,Combo Sandwich,$4,veggie rice,$5,https://dl.dropboxusercontent.com/u/17481094/19foodtruck_1.jpg
1968606292,https://dl.dropboxusercontent.com/u/17481094/19foodtruck_1.jpg,CHICKEN RICE,$5,COMBO SANDWICH,$4,COMBO SALAD,$5,GYRO SALAD,$5,COMBO RICE,$6,GYRO RICE,$5,FALAFEL RICE,$5,VEGGIE RICE,$5,CHICKEN SALAD,$5,CHICKEN GYRO,$4,FALAFEL,$4,GYRO,$4,https://dl.dropboxusercontent.com/u/17481094/19foodtruck_1.jpg
1968594390,https://dl.dropboxusercontent.com/u/17481094/20foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/20foodtruck_1.jpg
1968594471,https://dl.dropboxusercontent.com/u/17481094/20foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/20foodtruck_1.jpg
1968630232,https://dl.dropboxusercontent.com/u/17481094/20foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/20foodtruck_1.jpg
1968597168,https://dl.dropboxusercontent.com/u/17481094/21foodtruck_1.jpg,Chiken Kebab Over Rice,$5.00,,,,,,,Giro Over Rice,$5.00,Kofte Over Rice,$7.00,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/21foodtruck_1.jpg
1968597595,https://dl.dropboxusercontent.com/u/17481094/21foodtruck_1.jpg,Chicken Kebab Over Rice,$5,,,,,,,Gyro Over Rice,$5,Kofte Over Rice,$7,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/21foodtruck_1.jpg
1968616622,https://dl.dropboxusercontent.com/u/17481094/21foodtruck_1.jpg,Chicken Kebab Over Rice,$5,,,,,,,Gyro Over Rice,$5,Kofte Over Rice,$7,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/21foodtruck_1.jpg
1968596315,https://dl.dropboxusercontent.com/u/17481094/22foodtruck_1.jpg,Chicken Over Rice,$5,,,,,,,Lamb Over Rice,$5,Falafel Over Rice,$5,Chickes Kebab,$5,Chicken Falafel,$6,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/22foodtruck_1.jpg
1968598783,https://dl.dropboxusercontent.com/u/17481094/22foodtruck_1.jpg,Chicken Over Rice,$5,,,,,,,Combo Over Rice,$6,Chicken Falafel Combo,$6,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/22foodtruck_1.jpg
1968631915,https://dl.dropboxusercontent.com/u/17481094/22foodtruck_1.jpg,2,$1.00,1,$1,1,$1.00,1,$1.00,1,$1,1,$1.00,1,$1,1,$1.00,1,$1,1,$1.00,1,$1,1,$1.00,https://dl.dropboxusercontent.com/u/17481094/22foodtruck_1.jpg
1968594053,https://dl.dropboxusercontent.com/u/17481094/23foodtruck_1.jpg,Sdfsdf,"$1,000",Fsdfsff,"$1,000",Dfsfsdf,"$1,000",Sdfsfsf,"$1,000",Fsdafsd,"$1,000",Fsafsdf,"$1,000",Sdfsdf,"$1,000",Dfdf,"$1,000",Dfsdfsdf,"$1,000",Dsfdfsf,"$1,000",Sdfsfsf,"$1,000",dfswfdf,"$1,000",https://dl.dropboxusercontent.com/u/17481094/23foodtruck_1.jpg
1968595868,https://dl.dropboxusercontent.com/u/17481094/23foodtruck_1.jpg,Chciken Wings,$0,Brwon Stew Turkey,$0,4 Vegetables Side Combo,$3,Mixed Combo,$0,Chciken Leg,$0,Chciken Breast,$0,Curry Chciken,$0,Jerk Chciken,$0,Brown Stew Chciken,$0,Fish,$0,Fish and Fries,$0,oxtail,$0,https://dl.dropboxusercontent.com/u/17481094/23foodtruck_1.jpg
1968610818,https://dl.dropboxusercontent.com/u/17481094/23foodtruck_1.jpg,Vegetable Sides Combo,$3,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/23foodtruck_1.jpg
1968592663,https://dl.dropboxusercontent.com/u/17481094/24foodtruck_1.jpg,Eggs,$3,,,,,,,Eggs & Cheese,$3.25,Hamburger,$2.75,Tuna Fish,$4.75,B.L.T,$6,Pork Roll,$4,,,,,,,https://dl.dropboxusercontent.com/u/17481094/24foodtruck_1.jpg
1968597534,https://dl.dropboxusercontent.com/u/17481094/24foodtruck_1.jpg,EGGS,$3,PORKROLL & EGGS,$4.50,PORK ROLL,$4,PORK ROLL & CHEESE,$4.50,EGGS & CHEESE,$3.25,HAM & EGGS,$3.75,PORK BACON & EGGS,$3.75,SAUSAGE & EGGS,$3.75,SAUSAGE & ROLL,$3.75,SAUSAGE & CHEESE,$4.50,TURKEY BACON & EGGS,$4.50,SCRAPPLE & EGGS,$4.50,https://dl.dropboxusercontent.com/u/17481094/24foodtruck_1.jpg
1968615430,https://dl.dropboxusercontent.com/u/17481094/24foodtruck_1.jpg,Eggs,$3,Porkroll & Eggs,$4.50,Pork & Roll,$4,Pork Roll & Cheese,$4.50,Eggs & Cheese,$3.25,Ham & Eggs,$3.75,Por Bacom & Eggs,$3.75,Sausace & Eggs,$3.75,Sausace & Roll,$3.75,Sausace & Cheese,$4.50,Turkey Bacon & Eggs,$4.50,scrapple & eggs,$4.50,https://dl.dropboxusercontent.com/u/17481094/24foodtruck_1.jpg
